organism,taxlevel,Min,Max,Mean,Se,top,metrics,iteration_count
New_Bicosoecales_01,taxogroup_1,2.29275221914901,59.2733607751464,10.0056437113001,11.3779016772108,1,phi,131
New_Bicosoecales_01,taxogroup_1,1.94218740923609,29.7789968077658,7.01988033324414,7.50431851776053,10,phi,131
New_Bicosoecales_01,taxogroup_1,2.16624371306605,45.2908871005318,8.95453054436121,9.95850381372159,2,phi,131
New_Bicosoecales_01,taxogroup_1,2.10466044475687,43.0029573049143,8.52457513158805,9.41789389083802,3,phi,131
New_Bicosoecales_01,taxogroup_1,2.08951367318205,37.2373833036817,8.20233813940957,8.99694398564439,4,phi,131
New_Bicosoecales_01,taxogroup_1,2.06726883491394,37.180264413778,7.92406870520216,8.65192627074589,5,phi,131
New_Bicosoecales_01,taxogroup_1,2.00636003240838,34.6291713030153,7.68382777254342,8.34668052987756,6,phi,131
New_Bicosoecales_01,taxogroup_1,2.00169023026646,34.2867965098712,7.47294074813337,8.07399075018377,7,phi,131
New_Bicosoecales_01,taxogroup_1,1.96375849388158,34.0665598507175,7.30533199438691,7.86529654770689,8,phi,131
New_Bicosoecales_01,taxogroup_1,1.94622150405881,30.0672969889055,7.15517841421372,7.67196285247953,9,phi,131
New_Bicosoecales_01,taxogroup_2,1.71775927043443,40.5661307621401,7.76012707093388,8.64660987924927,1,phi,131
New_Bicosoecales_01,taxogroup_2,1.31540937077131,17.9229475125529,3.77241789888571,3.5286639392131,10,phi,131
New_Bicosoecales_01,taxogroup_2,1.67235883088006,34.3511988841013,6.64810993667465,7.18182407177899,2,phi,131
New_Bicosoecales_01,taxogroup_2,1.5495043682625,31.3185492099307,5.90348250431985,6.22611492619487,3,phi,131
New_Bicosoecales_01,taxogroup_2,1.54233696043545,27.7930481172375,5.3911584248214,5.55895474978563,4,phi,131
New_Bicosoecales_01,taxogroup_2,1.50387985817092,23.3655665922487,5.01907762926384,5.09293564478269,5,phi,131
New_Bicosoecales_01,taxogroup_2,1.48914433537178,22.5148344566871,4.69881267734614,4.70020721884571,6,phi,131
New_Bicosoecales_01,taxogroup_2,1.43454321267156,21.7443393298185,4.4237571358149,4.34674454276261,7,phi,131
New_Bicosoecales_01,taxogroup_2,1.40415680537758,20.0309589183984,4.19672767115058,4.06453894852206,8,phi,131
New_Bicosoecales_01,taxogroup_2,1.34255859320709,19.4167262030484,3.97347429273991,3.77598055226333,9,phi,131
New_Chlorophyta_01,supergroup,1.85356292528936,6.15963948848524,3.16468751234045,0.914323086693157,1,phi,131
New_Chlorophyta_01,supergroup,1.66307191309605,3.75415128142922,2.50565517001336,0.609929986312854,10,phi,131
New_Chlorophyta_01,supergroup,1.76542566561158,5.45535095443115,2.95742758052851,0.80810337890719,2,phi,131
New_Chlorophyta_01,supergroup,1.74330162960961,4.83341959789083,2.84743580420941,0.756199613294185,3,phi,131
New_Chlorophyta_01,supergroup,1.7280444114937,4.44205335501563,2.7695416338106,0.720502628784979,4,phi,131
New_Chlorophyta_01,supergroup,1.70348395603915,4.25855716289476,2.70373622197188,0.690527490523247,5,phi,131
New_Chlorophyta_01,supergroup,1.70038648065557,4.07875506091565,2.64807194042754,0.668276107573836,6,phi,131
New_Chlorophyta_01,supergroup,1.6972148858078,3.95455505241656,2.60340717019664,0.646117774993185,7,phi,131
New_Chlorophyta_01,supergroup,1.68662022055489,3.8807721827555,2.56660561419517,0.634954212679314,8,phi,131
New_Chlorophyta_01,supergroup,1.67420371380104,3.77779401205472,2.53415247722586,0.621286280315931,9,phi,131
New_Chlorophyta_01,taxogroup_1,1.85356292528936,6.15963948848524,3.15540640133472,0.913038493749252,1,phi,131
New_Chlorophyta_01,taxogroup_1,1.65763175148276,3.72932439975085,2.48700058593102,0.60302136758544,10,phi,131
New_Chlorophyta_01,taxogroup_1,1.76542566561158,5.45535095443115,2.93812912479186,0.801902264483008,2,phi,131
New_Chlorophyta_01,taxogroup_1,1.74330162960961,4.83341959789083,2.83091988053995,0.749149136620704,3,phi,131
New_Chlorophyta_01,taxogroup_1,1.7280444114937,4.27296660755662,2.75098082517041,0.714233287434887,4,phi,131
New_Chlorophyta_01,taxogroup_1,1.70348395603915,4.15338499416725,2.68001621514496,0.679816835299585,5,phi,131
