organism,taxlevel,Min,Max,Mean,Se,top,metrics,iteration_count
New_Choreotrichida _01,taxogroup_2,0.378909546036105,0.901425141323563,0.575838548185015,0.130607961856191,6,vlr,130
New_Choreotrichida _01,taxogroup_2,0.373694405940382,0.89795288498377,0.566571421676872,0.129804496571077,7,vlr,130
New_Choreotrichida _01,taxogroup_2,0.373090637688714,0.882293427229288,0.558567309645617,0.129180912662795,8,vlr,130
New_Choreotrichida _01,taxogroup_2,0.365779067341017,0.869983621160832,0.551167844030294,0.129191579807507,9,vlr,130
New_Choreotrichida _01,taxogroup_middle,0.433323452827126,1.13314413159419,0.688671591769462,0.141853850648396,1,vlr,130
New_Choreotrichida _01,taxogroup_middle,0.36467055697758,0.856779472514774,0.535892081483761,0.128471518424668,10,vlr,130
New_Choreotrichida _01,taxogroup_middle,0.411839545764931,1.03814638085664,0.639963021083134,0.134863086122517,2,vlr,130
New_Choreotrichida _01,taxogroup_middle,0.410080482197304,0.967484176711283,0.611463141403544,0.131926029076781,3,vlr,130
New_Choreotrichida _01,taxogroup_middle,0.387821584781655,0.916306164065259,0.593132874221499,0.13095922466798,4,vlr,130
New_Choreotrichida _01,taxogroup_middle,0.383734432251274,0.90584243626032,0.578978069406211,0.130778509074583,5,vlr,130
New_Choreotrichida _01,taxogroup_middle,0.378909546036105,0.900743992223065,0.568209466437545,0.130130939820607,6,vlr,130
New_Choreotrichida _01,taxogroup_middle,0.373694405940382,0.885747435562474,0.558662757781986,0.129772401754596,7,vlr,130
New_Choreotrichida _01,taxogroup_middle,0.372362439746512,0.882293427229288,0.550408923621002,0.129225651352461,8,vlr,130
New_Choreotrichida _01,taxogroup_middle,0.365779067341017,0.868985061193954,0.542579246122213,0.128921532965195,9,vlr,130
New_Chrysochromulinaceae_01,taxogroup_2,0.495715597276039,2.15807042172684,0.943485042674352,0.295859867947905,1,vlr,130
New_Chrysochromulinaceae_01,taxogroup_2,0.415576931995315,1.89738738819025,0.792897909094033,0.289559395782706,10,vlr,130
New_Chrysochromulinaceae_01,taxogroup_2,0.453227424777868,2.08329567116613,0.896198500364857,0.293594529736512,2,vlr,130
New_Chrysochromulinaceae_01,taxogroup_2,0.428585440914724,2.04164877814732,0.869336672948616,0.291726139222663,3,vlr,130
New_Chrysochromulinaceae_01,taxogroup_2,0.42402395204897,1.97790204211408,0.850281250823081,0.290699818734575,4,vlr,130
New_Chrysochromulinaceae_01,taxogroup_2,0.423907765390664,1.95373149458031,0.83459061638994,0.290903896537721,5,vlr,130
New_Chrysochromulinaceae_01,taxogroup_2,0.422466454940657,1.92566598507458,0.824039124004132,0.290850501265969,6,vlr,130
New_Chrysochromulinaceae_01,taxogroup_2,0.422418586484454,1.9156877757563,0.814901955075469,0.290155015903253,7,vlr,130
New_Chrysochromulinaceae_01,taxogroup_2,0.418384692682427,1.91087023947966,0.80700721503487,0.28960929109314,8,vlr,130
New_Chrysochromulinaceae_01,taxogroup_2,0.418156513770553,1.90323395977078,0.799690876059832,0.289479280089241,9,vlr,130
New_Chrysochromulinaceae_01,taxogroup_middle,0.453227424777868,2.15807042172684,0.914257048637959,0.296868777009207,1,vlr,130
New_Chrysochromulinaceae_01,taxogroup_middle,0.376791268071985,1.86907663547054,0.755266572420102,0.289214387571816,10,vlr,130
New_Chrysochromulinaceae_01,taxogroup_middle,0.428585440914724,2.04164877814732,0.864536586873334,0.292231806666076,2,vlr,130
New_Chrysochromulinaceae_01,taxogroup_middle,0.42402395204897,1.97139065293411,0.836447267316085,0.291157964848358,3,vlr,130
New_Chrysochromulinaceae_01,taxogroup_middle,0.415580253578164,1.93014112848171,0.817457797660729,0.290565908444692,4,vlr,130
New_Chrysochromulinaceae_01,taxogroup_middle,0.409854233074825,1.92131891398212,0.803559632441512,0.290317280992928,5,vlr,130
New_Chrysochromulinaceae_01,taxogroup_middle,0.403458611786208,1.9091931820988,0.791549649482319,0.289713025389477,6,vlr,130
New_Chrysochromulinaceae_01,taxogroup_middle,0.398090316600685,1.88516644156348,0.781302478432351,0.289338307543862,7,vlr,130
